park_name,park_long,park_lat,park_state
Coronado National Memorial,110.2561574,31.34900397,AZ
Cowpens National Battlefield,81.80935433,35.13160654,SC
Crater Lake National Park,122.1338414,42.94065854,OR
Craters Of The Moon National Monument & Preserve,113.4791609,43.20345611,ID
Crossroads of the American Revolution National Heritage Area,74.5613021850586,40.4621353149414,NJ
Cumberland Gap National Historical Park,83.6114083,36.62503076,KY,TN,VA
Cumberland Island National Seashore,81.45253575,30.85857484,GA
Curecanti National Recreation Area,107.3303371,38.46584558,CO
Cuyahoga Valley National Park,81.57116722,41.26093905,OH
David Berger National Memorial,81.49133831,41.47369879,OH
Dayton Aviation Heritage National Historical Park,84.10442045,39.78944467,OH
De Soto National Memorial,82.64335416,27.52272613,FL
Death Valley National Park,117.134395,36.48753731,CA,NV
Delaware & Lehigh National Heritage Corridor,75.2365978807211,40.6690786778927,PA
Delaware Water Gap National Recreation Area,74.94751173,41.12793491,NJ,PA
Denali National Park & Preserve,151.0526568,63.29777484,AK
Devils Postpile National Monument,119.0873903,37.6152564,CA
Devils Tower National Monument,104.7156341,44.59064655,WY
Dinosaur National Monument,108.9333714,40.50739742,CO,UT
Dry Tortugas National Park,82.87176297,24.64884965,FL
Ebey's Landing National Historical Reserve,122.6877213,48.21403036,WA
Edgar Allan Poe National Historic Site,75.1500062,39.96195482,PA
Effigy Mounds National Monument,91.19687517,43.08095081,IA
Eisenhower National Historic Site,77.26508101,39.79577592,PA
El Malpais National Monument,107.9950948,34.88422799,NM
El Morro National Monument,108.3463984,35.03895916,NM
Eleanor Roosevelt National Historic Site,73.89894026,41.76208482,NY
Ellis Island Part of Statue of Liberty National Monument,74.0401,40.69946,NJ,NY
Erie Canalway National Heritage Corridor,75.9960784912109,43.0179443359375,NY
Essex National Heritage Area,70.9571075439453,42.6678314208984,MA
Eugene O'Neill National Historic Site,122.0271566,37.82604456,CA
Everglades National Park,80.88200301,25.37294225,FL
Fallen Timbers Battlefield and Fort Miamis National Historic Site,83.6975021362305,41.5441665649414,OH
Federal Hall National Memorial,74.01025636,40.70731192,NY
Fire Island National Seashore,73.00013462,40.69668638,NY
First Ladies National Historic Site,81.37579869,40.79689857,OH
First State National Historical Park,75.56353942,39.83076929,DE,PA
Flight 93 National Memorial,78.89456905,40.06061476,PA
Florissant Fossil Beds National Monument,105.2803396,38.91260586,CO
Ford's Theatre,77.02577944,38.89668819,DC
Fort Bowie National Historic Site,109.451132,32.14925942,AZ
Fort Davis National Historic Site,103.8961904,30.59930381,TX
Fort Donelson National Battlefield,87.92445695,36.49019078,KY,TN
Fort Dupont Park,76.94955824,38.87731289,DC
Fort Foote Park,77.02812387,38.76901785,MD
Fort Frederica National Monument,81.39452014,31.2214699,GA
Fort Laramie National Historic Site,104.5459112,42.20301694,WY
Fort Larned National Historic Site,99.21836664,38.18047491,KS
Fort Matanzas National Monument,81.23567535,29.7121489,FL
Fort McHenry National Monument and Historic Shrine,76.58044165,39.26395314,MD
Fort Monroe National Monument,76.30103195,37.01733343,VA
Fort Necessity National Battlefield,79.59033344,39.81306048,PA
Fort Point National Historic Site,122.473747,37.80837439,CA
Fort Pulaski National Monument,80.93361681,32.0308274,GA
Fort Raleigh National Historic Site,75.71496865,35.93278602,NC
Fort Scott National Historic Site,94.70429174,37.84358849,KS
Fort Smith National Historic Site,94.43129079,35.38834746,AR,OK
Fort Stanwix National Monument,75.45557626,43.21053441,NY
Fort Sumter National Monument,79.87068744,32.75654469,SC
Fort Union National Monument,105.0145185,35.90700629,NM
Fort Union Trading Post National Historic Site,104.0375238,48.00075828,MT,ND
Fort Vancouver National Historic Site,122.6617043,45.62234841,OR,WA
Fort Washington Park,77.02174195,38.70875364,MD
Fossil Butte National Monument,110.7624754,41.85635223,WY
Franklin Delano Roosevelt Memorial,77.04311542,38.88341274,DC
Frederick Douglass National Historic Site,76.98508147,38.86298458,DC
Frederick Law Olmsted National Historic Site,71.13202567,42.32424266,MA
Fredericksburg & Spotsylvania National Military Park,77.6470428,38.28277118,VA
Freedom Riders National Monument,85.9064331054688,33.6352691650391,AL
Friendship Hill National Historic Site,79.92504169,39.77543423,PA
Gates Of The Arctic National Park & Preserve,153.2917758,67.75961636,AK
Gateway Arch National Park,90.18039557,38.62328806,MO
Gateway National Recreation Area,73.9171087,40.56536246,NY,NJ
Gauley River National Recreation Area,81.00420836,38.20614947,WV
General Grant National Memorial,73.96331542,40.81332817,NY
George Rogers Clark National Historical Park,87.53545212,38.67912659,IN
George Washington Birthplace National Monument,76.92079458,38.19362603,VA
George Washington Carver National Monument,94.35522737,36.9871322,MO
George Washington Memorial Parkway,77.08528147,38.85452263,DC,MD,VA
Gettysburg National Military Park,77.23246758,39.81557366,PA
